t;xgoal;ygoal;x_waypoint;y_waypoint;yaw_waypoint;x_t;y_t;yaw_t;x_p;y_p;yaw_p;
978.394;6.50;1.50;0.00;0.00;0.00;0.00;0.00;-0.08;0.00;0.00;0.00;
978.494;6.50;1.50;-0.02;-0.02;0.00;0.00;0.00;-0.08;-0.00;-0.00;-0.01;
978.594;6.50;1.50;-0.02;-0.02;0.00;0.03;-0.00;-0.08;0.02;-0.00;-0.01;
978.694;6.50;1.50;-0.02;-0.02;0.00;0.09;-0.01;0.00;0.09;-0.00;0.05;
978.795;6.50;1.50;-0.02;-0.02;0.00;0.14;-0.01;0.07;0.13;0.00;0.11;
978.894;6.50;1.50;-0.02;-0.02;0.00;0.18;-0.02;0.12;0.18;0.01;0.18;
978.994;6.50;1.50;-0.02;-0.02;0.00;0.24;-0.02;0.19;0.23;0.02;0.23;
979.097;6.50;1.50;-0.02;-0.02;0.00;0.30;-0.01;0.24;0.30;0.04;0.31;
979.194;6.50;1.50;-0.02;-0.02;0.00;0.34;-0.00;0.29;0.33;0.05;0.34;
979.294;6.50;1.50;-0.02;-0.02;0.00;0.39;0.01;0.32;0.36;0.06;0.38;
979.397;6.50;1.50;-0.02;-0.02;0.00;0.44;0.02;0.34;0.44;0.09;0.41;
979.494;6.50;1.50;-0.02;-0.02;0.00;0.48;0.03;0.37;0.46;0.10;0.42;
979.594;6.50;1.50;-0.02;-0.02;0.00;0.53;0.05;0.38;0.50;0.12;0.45;
979.700;6.50;1.50;-0.02;-0.02;0.00;0.59;0.07;0.39;0.57;0.15;0.46;
979.794;6.50;1.50;-0.02;-0.02;0.00;0.62;0.08;0.41;0.59;0.16;0.46;
979.894;6.50;1.50;-0.02;-0.02;0.00;0.68;0.11;0.43;0.63;0.18;0.49;
979.995;6.50;1.50;-0.02;-0.02;0.00;0.72;0.12;0.44;0.70;0.21;0.49;
980.094;6.50;1.50;-0.02;-0.02;0.00;0.77;0.14;0.47;0.72;0.22;0.51;
980.194;6.50;1.50;-0.02;-0.02;0.00;0.80;0.16;0.48;0.77;0.24;0.53;
980.296;6.50;1.50;-0.02;-0.02;0.00;0.85;0.18;0.50;0.83;0.28;0.55;
980.394;6.50;1.50;-0.02;-0.02;0.00;0.90;0.21;0.50;0.88;0.30;0.55;
980.498;6.50;1.50;0.86;0.28;0.00;0.94;0.23;0.50;0.92;0.32;0.55;
980.594;6.50;1.50;0.86;0.28;0.00;0.99;0.26;0.50;0.96;0.34;0.55;
980.695;6.50;1.50;0.86;0.28;0.00;1.03;0.28;0.49;1.00;0.37;0.54;
980.794;6.50;1.50;0.86;0.28;0.00;1.08;0.31;0.48;1.02;0.38;0.54;
980.895;6.50;1.50;0.86;0.28;0.00;1.10;0.32;0.48;1.08;0.41;0.52;
980.997;6.50;1.50;0.86;0.28;0.00;1.17;0.35;0.47;1.13;0.43;0.52;
981.094;6.50;1.50;0.86;0.28;0.00;1.21;0.38;0.47;1.15;0.44;0.51;
981.195;6.50;1.50;0.86;0.28;0.00;1.26;0.40;0.47;1.21;0.47;0.51;
981.294;6.50;1.50;0.86;0.28;0.00;1.29;0.42;0.48;1.27;0.49;0.51;
981.395;6.50;1.50;0.86;0.28;0.00;1.34;0.45;0.47;1.31;0.52;0.51;
981.495;6.50;1.50;0.86;0.28;0.00;1.39;0.47;0.47;1.36;0.54;0.50;
981.594;6.50;1.50;0.86;0.28;0.00;1.43;0.49;0.46;1.40;0.56;0.50;
981.696;6.50;1.50;0.86;0.28;0.00;1.48;0.51;0.46;1.44;0.58;0.50;
981.818;6.50;1.50;0.86;0.28;0.00;1.50;0.52;0.46;1.49;0.60;0.49;
981.894;6.50;1.50;0.86;0.28;0.00;1.55;0.55;0.45;1.51;0.61;0.48;
981.994;6.50;1.50;0.86;0.28;0.00;1.61;0.58;0.45;1.56;0.64;0.49;
982.094;6.50;1.50;0.86;0.28;0.00;1.66;0.60;0.44;1.60;0.66;0.48;
982.194;6.50;1.50;0.86;0.28;0.00;1.70;0.63;0.43;1.66;0.68;0.46;
982.294;6.50;1.50;0.86;0.28;0.00;1.75;0.65;0.43;1.72;0.71;0.46;
982.395;6.50;1.50;0.86;0.28;0.00;1.79;0.67;0.42;1.77;0.73;0.45;
982.494;6.50;1.50;1.76;0.72;0.00;1.84;0.69;0.42;1.78;0.74;0.45;
982.594;6.50;1.50;1.76;0.72;0.00;1.88;0.71;0.42;1.83;0.76;0.45;
982.696;6.50;1.50;1.76;0.72;0.00;1.93;0.73;0.42;1.91;0.79;0.44;
982.794;6.50;1.50;1.76;0.72;0.00;1.97;0.75;0.42;1.93;0.80;0.44;
982.894;6.50;1.50;1.76;0.72;0.00;2.01;0.77;0.42;2.00;0.83;0.44;
982.994;6.50;1.50;1.76;0.72;0.00;2.06;0.79;0.42;2.04;0.85;0.44;
983.094;6.50;1.50;1.76;0.72;0.00;2.11;0.81;0.43;2.08;0.87;0.45;
983.196;6.50;1.50;1.76;0.72;0.00;2.14;0.82;0.43;2.13;0.89;0.45;
983.295;6.50;1.50;1.76;0.72;0.00;2.19;0.85;0.43;2.18;0.92;0.45;
983.394;6.50;1.50;1.76;0.72;0.00;2.25;0.87;0.43;2.21;0.93;0.45;
983.494;6.50;1.50;1.76;0.72;0.00;2.29;0.89;0.43;2.24;0.95;0.45;
983.594;6.50;1.50;1.76;0.72;0.00;2.34;0.91;0.43;2.31;0.98;0.45;
983.694;6.50;1.50;1.76;0.72;0.00;2.38;0.93;0.44;2.33;0.99;0.45;
983.795;6.50;1.50;1.76;0.72;0.00;2.43;0.96;0.45;2.38;1.01;0.46;
983.898;6.50;1.50;1.76;0.72;0.00;2.48;0.98;0.47;2.45;1.04;0.48;
983.994;6.50;1.50;1.76;0.72;0.00;2.51;1.00;0.47;2.47;1.05;0.48;
984.094;6.50;1.50;1.76;0.72;0.00;2.56;1.02;0.47;2.51;1.07;0.48;
984.194;6.50;1.50;1.76;0.72;0.00;2.60;1.04;0.47;2.55;1.09;0.48;
984.294;6.50;1.50;1.76;0.72;0.00;2.64;1.06;0.47;2.62;1.13;0.49;
984.394;6.50;1.50;1.76;0.72;0.00;2.67;1.08;0.48;2.64;1.14;0.49;
984.494;6.50;1.50;2.66;1.14;0.00;2.71;1.09;0.48;2.68;1.16;0.49;
984.594;6.50;1.50;2.66;1.14;0.00;2.76;1.12;0.50;2.74;1.19;0.51;
984.694;6.50;1.50;2.66;1.14;0.00;2.80;1.14;0.50;2.76;1.20;0.51;
984.795;6.50;1.50;2.66;1.14;0.00;2.82;1.15;0.50;2.81;1.22;0.51;
984.895;6.50;1.50;2.66;1.14;0.00;2.86;1.17;0.50;2.82;1.22;0.51;
984.994;6.50;1.50;2.66;1.14;0.00;2.87;1.18;0.50;2.84;1.24;0.51;
985.096;6.50;1.50;2.66;1.14;0.00;2.90;1.19;0.52;2.87;1.25;0.51;
985.194;6.50;1.50;2.66;1.14;0.00;2.93;1.21;0.53;2.90;1.27;0.53;
985.300;6.50;1.50;2.66;1.14;0.00;2.95;1.22;0.55;2.93;1.28;0.55;
985.394;6.50;1.50;2.66;1.14;0.00;2.98;1.23;0.56;2.95;1.29;0.56;
