t;xgoal;ygoal;x_waypoint;y_waypoint;yaw_waypoint;x_t;y_t;yaw_t;x_p;y_p;yaw_p;
985.494;6.50;1.50;2.66;1.14;0.00;3.00;1.25;0.57;2.97;1.30;0.57;
985.595;6.50;1.50;2.66;1.14;0.00;3.02;1.26;0.57;3.00;1.32;0.57;
985.694;6.50;1.50;2.66;1.14;0.00;3.05;1.28;0.57;3.02;1.33;0.58;
985.794;6.50;1.50;2.66;1.14;0.00;3.09;1.30;0.57;3.04;1.34;0.57;
985.894;6.50;1.50;2.66;1.14;0.00;3.12;1.32;0.57;3.07;1.36;0.57;
985.994;6.50;1.50;2.66;1.14;0.00;3.14;1.33;0.56;3.08;1.37;0.57;
986.094;6.50;1.50;2.66;1.14;0.00;3.15;1.34;0.56;3.11;1.39;0.56;
986.195;6.50;1.50;2.66;1.14;0.00;3.18;1.36;0.56;3.15;1.41;0.56;
986.294;6.50;1.50;2.66;1.14;0.00;3.21;1.38;0.56;3.18;1.43;0.56;
986.395;6.50;1.50;2.66;1.14;0.00;3.23;1.39;0.55;3.20;1.44;0.56;
986.494;6.50;1.50;3.20;1.44;0.00;3.26;1.41;0.53;3.23;1.46;0.55;
986.594;6.50;1.50;3.20;1.44;0.00;3.27;1.42;0.53;3.25;1.47;0.53;
986.694;6.50;1.50;3.20;1.44;0.00;3.31;1.44;0.51;3.29;1.49;0.52;
986.794;6.50;1.50;3.20;1.44;0.00;3.35;1.47;0.46;3.32;1.50;0.50;
986.894;6.50;1.50;3.20;1.44;0.00;3.39;1.50;0.41;3.36;1.53;0.45;
986.996;6.50;1.50;3.20;1.44;0.00;3.44;1.52;0.36;3.41;1.55;0.40;
987.095;6.50;1.50;3.20;1.44;0.00;3.47;1.54;0.32;3.45;1.57;0.34;
987.194;6.50;1.50;3.20;1.44;0.00;3.53;1.56;0.25;3.51;1.58;0.28;
987.295;6.50;1.50;3.20;1.44;0.00;3.58;1.58;0.22;3.58;1.60;0.22;
987.394;6.50;1.50;3.20;1.44;0.00;3.62;1.59;0.20;3.61;1.61;0.21;
987.495;6.50;1.50;3.20;1.44;0.00;3.67;1.61;0.16;3.68;1.62;0.16;
987.595;6.50;1.50;3.20;1.44;0.00;3.73;1.62;0.15;3.73;1.62;0.14;
987.694;6.50;1.50;3.20;1.44;0.00;3.78;1.63;0.14;3.75;1.63;0.15;
987.794;6.50;1.50;3.20;1.44;0.00;3.83;1.63;0.12;3.80;1.63;0.14;
987.894;6.50;1.50;3.20;1.44;0.00;3.88;1.64;0.11;3.88;1.64;0.11;
987.994;6.50;1.50;3.20;1.44;0.00;3.92;1.65;0.09;3.90;1.64;0.10;
988.095;6.50;1.50;3.20;1.44;0.00;3.97;1.66;0.06;3.98;1.65;0.06;
988.194;6.50;1.50;3.20;1.44;0.00;4.02;1.66;0.05;4.00;1.65;0.05;
988.294;6.50;1.50;3.20;1.44;0.00;4.06;1.66;0.04;4.05;1.65;0.04;
988.394;6.50;1.50;3.20;1.44;0.00;4.13;1.67;0.03;4.10;1.65;0.03;
988.495;6.50;1.50;4.12;1.64;0.00;4.18;1.67;0.02;4.16;1.65;0.02;
988.594;6.50;1.50;4.12;1.64;0.00;4.22;1.67;0.01;4.21;1.65;0.01;
988.694;6.50;1.50;4.12;1.64;0.00;4.28;1.67;-0.01;4.25;1.65;-0.00;
988.794;6.50;1.50;4.12;1.64;0.00;4.33;1.67;-0.02;4.33;1.65;-0.03;
988.894;6.50;1.50;4.12;1.64;0.00;4.38;1.67;-0.03;4.38;1.64;-0.03;
988.994;6.50;1.50;4.12;1.64;0.00;4.43;1.67;-0.03;4.40;1.64;-0.04;
989.094;6.50;1.50;4.12;1.64;0.00;4.48;1.67;-0.04;4.45;1.64;-0.04;
989.195;6.50;1.50;4.12;1.64;0.00;4.53;1.67;-0.05;4.53;1.63;-0.06;
989.300;6.50;1.50;4.12;1.64;0.00;4.58;1.67;-0.05;4.58;1.63;-0.06;
989.394;6.50;1.50;4.12;1.64;0.00;4.63;1.67;-0.05;4.61;1.63;-0.06;
989.494;6.50;1.50;4.12;1.64;0.00;4.68;1.66;-0.05;4.66;1.63;-0.06;
989.596;6.50;1.50;4.12;1.64;0.00;4.73;1.66;-0.06;4.71;1.63;-0.07;
989.696;6.50;1.50;4.12;1.64;0.00;4.78;1.66;-0.06;4.74;1.63;-0.07;
989.795;6.50;1.50;4.12;1.64;0.00;4.83;1.66;-0.06;4.80;1.62;-0.07;
989.896;6.50;1.50;4.12;1.64;0.00;4.88;1.65;-0.06;4.85;1.61;-0.07;
989.994;6.50;1.50;4.12;1.64;0.00;4.91;1.65;-0.06;4.91;1.61;-0.07;
990.102;6.50;1.50;4.12;1.64;0.00;4.96;1.65;-0.06;4.97;1.61;-0.07;
990.194;6.50;1.50;4.12;1.64;0.00;5.03;1.64;-0.06;4.99;1.60;-0.07;
990.294;6.50;1.50;4.12;1.64;0.00;5.07;1.64;-0.06;5.07;1.60;-0.07;
990.394;6.50;1.50;4.12;1.64;0.00;5.12;1.64;-0.06;5.09;1.60;-0.07;
990.494;6.50;1.50;5.12;1.58;0.00;5.18;1.63;-0.06;5.17;1.59;-0.07;
990.594;6.50;1.50;5.12;1.58;0.00;5.22;1.63;-0.06;5.19;1.59;-0.07;
990.695;6.50;1.50;5.12;1.58;0.00;5.28;1.63;-0.06;5.24;1.59;-0.07;
990.794;6.50;1.50;5.12;1.58;0.00;5.32;1.63;-0.06;5.29;1.58;-0.07;
990.898;6.50;1.50;5.12;1.58;0.00;5.38;1.62;-0.06;5.37;1.57;-0.07;
990.994;6.50;1.50;5.12;1.58;0.00;5.42;1.62;-0.06;5.39;1.57;-0.07;
991.095;6.50;1.50;5.12;1.58;0.00;5.47;1.62;-0.06;5.47;1.57;-0.07;
991.195;6.50;1.50;5.12;1.58;0.00;5.52;1.61;-0.06;5.50;1.57;-0.07;
991.294;6.50;1.50;5.12;1.58;0.00;5.57;1.61;-0.06;5.54;1.57;-0.07;
991.396;6.50;1.50;5.12;1.58;0.00;5.62;1.61;-0.06;5.61;1.56;-0.07;
991.494;6.50;1.50;5.12;1.58;0.00;5.66;1.60;-0.06;5.63;1.56;-0.07;
991.594;6.50;1.50;5.12;1.58;0.00;5.71;1.60;-0.05;5.68;1.55;-0.07;
991.694;6.50;1.50;5.12;1.58;0.00;5.75;1.60;-0.05;5.72;1.55;-0.06;
991.794;6.50;1.50;5.12;1.58;0.00;5.78;1.60;-0.05;5.76;1.55;-0.06;
991.895;6.50;1.50;5.12;1.58;0.00;5.82;1.60;-0.05;5.81;1.55;-0.06;
991.995;6.50;1.50;5.12;1.58;0.00;5.85;1.59;-0.05;5.85;1.54;-0.06;
992.094;6.50;1.50;5.12;1.58;0.00;5.89;1.59;-0.05;5.89;1.54;-0.06;
992.194;6.50;1.50;5.12;1.58;0.00;5.92;1.59;-0.05;5.90;1.54;-0.06;
992.294;6.50;1.50;5.12;1.58;0.00;5.95;1.59;-0.05;5.94;1.54;-0.06;
992.394;6.50;1.50;5.12;1.58;0.00;5.97;1.59;-0.05;5.96;1.54;-0.06;
992.494;6.50;1.50;5.96;1.52;0.00;6.00;1.59;-0.05;5.98;1.54;-0.06;
992.594;6.50;1.50;5.96;1.52;0.00;6.02;1.59;-0.05;6.01;1.53;-0.06;
