t;xgoal;ygoal;x_waypoint;y_waypoint;yaw_waypoint;x_t;y_t;yaw_t;x_p;y_p;yaw_p;
1152.985;6.50;1.50;0.00;0.00;0.00;-0.04;-0.00;0.02;0.00;0.00;0.00;
1153.084;6.50;1.50;-0.02;-0.00;0.00;-0.04;-0.00;0.02;-0.00;0.01;-0.00;
1153.184;6.50;1.50;-0.02;-0.00;0.00;-0.02;-0.00;0.02;0.02;0.01;-0.00;
1153.285;6.50;1.50;-0.02;-0.00;0.00;0.02;-0.00;0.04;0.07;0.01;0.00;
1153.389;6.50;1.50;-0.02;-0.00;0.00;0.06;-0.00;0.10;0.14;0.01;0.05;
1153.484;6.50;1.50;-0.02;-0.00;0.00;0.11;-0.01;0.17;0.17;0.01;0.10;
1153.585;6.50;1.50;-0.02;-0.00;0.00;0.15;-0.01;0.21;0.22;0.02;0.17;
1153.684;6.50;1.50;-0.02;-0.00;0.00;0.21;0.00;0.28;0.27;0.03;0.22;
1153.786;6.50;1.50;-0.02;-0.00;0.00;0.27;0.01;0.32;0.31;0.04;0.27;
1153.885;6.50;1.50;-0.02;-0.00;0.00;0.32;0.03;0.34;0.36;0.05;0.30;
1153.984;6.50;1.50;-0.02;-0.00;0.00;0.37;0.04;0.39;0.40;0.07;0.33;
1154.085;6.50;1.50;-0.02;-0.00;0.00;0.40;0.05;0.42;0.49;0.10;0.40;
1154.185;6.50;1.50;-0.02;-0.00;0.00;0.45;0.07;0.45;0.51;0.11;0.41;
1154.284;6.50;1.50;-0.02;-0.00;0.00;0.51;0.09;0.50;0.55;0.13;0.45;
1154.384;6.50;1.50;-0.02;-0.00;0.00;0.55;0.11;0.53;0.60;0.16;0.48;
1154.484;6.50;1.50;-0.02;-0.00;0.00;0.60;0.13;0.55;0.64;0.18;0.51;
1154.584;6.50;1.50;-0.02;-0.00;0.00;0.63;0.15;0.57;0.68;0.20;0.53;
1154.685;6.50;1.50;-0.02;-0.00;0.00;0.68;0.18;0.59;0.73;0.22;0.55;
1154.784;6.50;1.50;-0.02;-0.00;0.00;0.73;0.21;0.61;0.77;0.25;0.57;
1154.886;6.50;1.50;-0.02;-0.00;0.00;0.76;0.23;0.62;0.83;0.28;0.60;
