t;xgoal;ygoal;x_waypoint;y_waypoint;yaw_waypoint;x_t;y_t;yaw_t;x_p;y_p;yaw_p;
1154.984;6.50;1.50;-0.02;-0.00;0.00;0.81;0.27;0.63;0.85;0.29;0.61;
1155.084;6.50;1.50;0.86;0.30;0.00;0.85;0.30;0.63;0.89;0.32;0.61;
1155.184;6.50;1.50;0.86;0.30;0.00;0.90;0.33;0.62;0.93;0.35;0.61;
1155.284;6.50;1.50;0.86;0.30;0.00;0.92;0.35;0.61;0.98;0.39;0.59;
1155.384;6.50;1.50;0.86;0.30;0.00;0.97;0.39;0.59;1.02;0.41;0.58;
1155.485;6.50;1.50;0.86;0.30;0.00;1.02;0.42;0.57;1.06;0.43;0.56;
1155.584;6.50;1.50;0.86;0.30;0.00;1.06;0.44;0.57;1.10;0.46;0.55;
1155.686;6.50;1.50;0.86;0.30;0.00;1.10;0.47;0.56;1.16;0.50;0.55;
1155.784;6.50;1.50;0.86;0.30;0.00;1.14;0.50;0.55;1.18;0.51;0.54;
1155.889;6.50;1.50;0.86;0.30;0.00;1.17;0.52;0.55;1.25;0.55;0.53;
1155.984;6.50;1.50;0.86;0.30;0.00;1.23;0.55;0.53;1.27;0.56;0.52;
1156.084;6.50;1.50;0.86;0.30;0.00;1.27;0.58;0.52;1.31;0.57;0.50;
1156.184;6.50;1.50;0.86;0.30;0.00;1.31;0.60;0.52;1.36;0.60;0.50;
1156.284;6.50;1.50;0.86;0.30;0.00;1.36;0.63;0.51;1.40;0.62;0.50;
1156.384;6.50;1.50;0.86;0.30;0.00;1.40;0.65;0.51;1.44;0.64;0.49;
1156.484;6.50;1.50;0.86;0.30;0.00;1.44;0.68;0.50;1.49;0.67;0.48;
1156.584;6.50;1.50;0.86;0.30;0.00;1.49;0.70;0.49;1.53;0.69;0.47;
1156.684;6.50;1.50;0.86;0.30;0.00;1.52;0.72;0.48;1.57;0.71;0.47;
1156.794;6.50;1.50;0.86;0.30;0.00;1.58;0.75;0.45;1.64;0.74;0.44;
1156.884;6.50;1.50;0.86;0.30;0.00;1.62;0.77;0.44;1.66;0.76;0.43;
1156.984;6.50;1.50;0.86;0.30;0.00;1.65;0.79;0.44;1.71;0.78;0.42;
1157.085;6.50;1.50;1.72;0.78;0.00;1.71;0.82;0.44;1.76;0.80;0.42;
1157.184;6.50;1.50;1.72;0.78;0.00;1.75;0.84;0.44;1.79;0.81;0.42;
1157.285;6.50;1.50;1.72;0.78;0.00;1.80;0.86;0.44;1.86;0.84;0.42;
1157.384;6.50;1.50;1.72;0.78;0.00;1.84;0.88;0.44;1.89;0.85;0.42;
1157.489;6.50;1.50;1.72;0.78;0.00;1.89;0.90;0.44;1.95;0.88;0.42;
1157.584;6.50;1.50;1.72;0.78;0.00;1.93;0.92;0.44;1.98;0.90;0.42;
1157.686;6.50;1.50;1.72;0.78;0.00;1.98;0.94;0.44;2.04;0.93;0.42;
1157.784;6.50;1.50;1.72;0.78;0.00;2.03;0.97;0.44;2.07;0.94;0.42;
1157.884;6.50;1.50;1.72;0.78;0.00;2.07;0.99;0.44;2.10;0.96;0.42;
1157.986;6.50;1.50;1.72;0.78;0.00;2.12;1.01;0.44;2.18;0.99;0.42;
1158.086;6.50;1.50;1.72;0.78;0.00;2.16;1.03;0.44;2.20;1.00;0.42;
1158.184;6.50;1.50;1.72;0.78;0.00;2.20;1.04;0.43;2.25;1.02;0.42;
1158.284;6.50;1.50;1.72;0.78;0.00;2.25;1.07;0.43;2.29;1.04;0.42;
1158.384;6.50;1.50;1.72;0.78;0.00;2.30;1.09;0.43;2.34;1.06;0.42;
1158.491;6.50;1.50;1.72;0.78;0.00;2.35;1.11;0.43;2.40;1.09;0.42;
1158.584;6.50;1.50;1.72;0.78;0.00;2.39;1.13;0.43;2.43;1.10;0.42;
1158.685;6.50;1.50;1.72;0.78;0.00;2.43;1.16;0.43;2.48;1.12;0.42;
1158.784;6.50;1.50;1.72;0.78;0.00;2.48;1.18;0.43;2.52;1.14;0.42;
1158.884;6.50;1.50;1.72;0.78;0.00;2.52;1.20;0.43;2.56;1.16;0.42;
1158.985;6.50;1.50;1.72;0.78;0.00;2.57;1.22;0.43;2.61;1.18;0.42;
1159.084;6.50;1.50;2.62;1.18;0.00;2.62;1.24;0.42;2.65;1.20;0.41;
1159.186;6.50;1.50;2.62;1.18;0.00;2.66;1.26;0.42;2.73;1.24;0.41;
1159.285;6.50;1.50;2.62;1.18;0.00;2.69;1.27;0.42;2.74;1.24;0.41;
1159.395;6.50;1.50;2.62;1.18;0.00;2.73;1.29;0.42;2.81;1.27;0.41;
1159.485;6.50;1.50;2.62;1.18;0.00;2.79;1.32;0.42;2.83;1.28;0.41;
1159.585;6.50;1.50;2.62;1.18;0.00;2.83;1.34;0.42;2.88;1.30;0.40;
1159.685;6.50;1.50;2.62;1.18;0.00;2.88;1.36;0.42;2.92;1.32;0.40;
1159.785;6.50;1.50;2.62;1.18;0.00;2.92;1.37;0.42;2.97;1.34;0.41;
1159.884;6.50;1.50;2.62;1.18;0.00;2.96;1.39;0.42;3.01;1.35;0.40;
1159.985;6.50;1.50;2.62;1.18;0.00;2.98;1.40;0.42;3.04;1.37;0.40;
1160.084;6.50;1.50;2.62;1.18;0.00;3.02;1.42;0.42;3.05;1.38;0.41;
1160.185;6.50;1.50;2.62;1.18;0.00;3.06;1.44;0.41;3.10;1.40;0.41;
1160.284;6.50;1.50;2.62;1.18;0.00;3.09;1.45;0.41;3.12;1.40;0.39;
1160.384;6.50;1.50;2.62;1.18;0.00;3.11;1.46;0.41;3.15;1.42;0.39;
1160.487;6.50;1.50;2.62;1.18;0.00;3.13;1.47;0.42;3.19;1.44;0.41;
1160.584;6.50;1.50;2.62;1.18;0.00;3.16;1.48;0.42;3.20;1.44;0.41;
1160.684;6.50;1.50;2.62;1.18;0.00;3.20;1.50;0.41;3.25;1.46;0.40;
1160.787;6.50;1.50;2.62;1.18;0.00;3.24;1.52;0.36;3.29;1.48;0.38;
1160.885;6.50;1.50;2.62;1.18;0.00;3.29;1.54;0.32;3.36;1.50;0.31;
1160.984;6.50;1.50;2.62;1.18;0.00;3.33;1.56;0.28;3.39;1.51;0.29;
1161.084;6.50;1.50;3.40;1.50;0.00;3.38;1.58;0.25;3.44;1.53;0.26;
1161.184;6.50;1.50;3.40;1.50;0.00;3.43;1.59;0.23;3.49;1.54;0.22;
1161.285;6.50;1.50;3.40;1.50;0.00;3.49;1.61;0.23;3.53;1.55;0.22;
1161.384;6.50;1.50;3.40;1.50;0.00;3.53;1.62;0.20;3.57;1.56;0.21;
1161.488;6.50;1.50;3.40;1.50;0.00;3.58;1.63;0.18;3.65;1.57;0.17;
1161.584;6.50;1.50;3.40;1.50;0.00;3.63;1.64;0.16;3.68;1.58;0.16;
1161.690;6.50;1.50;3.40;1.50;0.00;3.66;1.65;0.14;3.75;1.59;0.12;
1161.784;6.50;1.50;3.40;1.50;0.00;3.73;1.66;0.11;3.77;1.59;0.11;
1161.885;6.50;1.50;3.40;1.50;0.00;3.78;1.67;0.09;3.82;1.60;0.09;
1161.984;6.50;1.50;3.40;1.50;0.00;3.83;1.68;0.08;3.87;1.60;0.07;
1162.084;6.50;1.50;3.40;1.50;0.00;3.86;1.68;0.07;3.93;1.60;0.06;
1162.184;6.50;1.50;3.40;1.50;0.00;3.93;1.69;0.05;3.97;1.61;0.04;
1162.287;6.50;1.50;3.40;1.50;0.00;3.98;1.69;0.03;4.05;1.61;0.02;
1162.384;6.50;1.50;3.40;1.50;0.00;4.03;1.69;0.01;4.07;1.61;0.01;
1162.484;6.50;1.50;3.40;1.50;0.00;4.06;1.70;-0.00;4.12;1.61;-0.01;
1162.585;6.50;1.50;3.40;1.50;0.00;4.13;1.70;-0.00;4.19;1.61;-0.02;
1162.684;6.50;1.50;3.40;1.50;0.00;4.18;1.70;-0.01;4.22;1.61;-0.02;
1162.784;6.50;1.50;3.40;1.50;0.00;4.23;1.70;-0.01;4.26;1.61;-0.02;
1162.884;6.50;1.50;3.40;1.50;0.00;4.28;1.70;-0.02;4.31;1.61;-0.02;
1162.984;6.50;1.50;3.40;1.50;0.00;4.33;1.70;-0.02;4.36;1.61;-0.03;
1163.085;6.50;1.50;4.38;1.60;0.00;4.38;1.70;-0.02;4.41;1.61;-0.03;
1163.184;6.50;1.50;4.38;1.60;0.00;4.43;1.69;-0.02;4.47;1.61;-0.04;
1163.286;6.50;1.50;4.38;1.60;0.00;4.48;1.69;-0.03;4.54;1.60;-0.04;
1163.384;6.50;1.50;4.38;1.60;0.00;4.53;1.69;-0.03;4.56;1.60;-0.04;
1163.484;6.50;1.50;4.38;1.60;0.00;4.58;1.69;-0.03;4.61;1.60;-0.04;
1163.584;6.50;1.50;4.38;1.60;0.00;4.63;1.69;-0.04;4.66;1.60;-0.05;
1163.685;6.50;1.50;4.38;1.60;0.00;4.68;1.69;-0.04;4.71;1.60;-0.05;
1163.785;6.50;1.50;4.38;1.60;0.00;4.73;1.69;-0.04;4.78;1.59;-0.05;
1163.884;6.50;1.50;4.38;1.60;0.00;4.78;1.68;-0.04;4.81;1.59;-0.05;
1163.984;6.50;1.50;4.38;1.60;0.00;4.83;1.68;-0.04;4.86;1.59;-0.05;
1164.084;6.50;1.50;4.38;1.60;0.00;4.88;1.68;-0.04;4.90;1.59;-0.05;
1164.186;6.50;1.50;4.38;1.60;0.00;4.93;1.68;-0.04;4.97;1.59;-0.05;
1164.284;6.50;1.50;4.38;1.60;0.00;4.98;1.68;-0.04;4.99;1.58;-0.05;
1164.391;6.50;1.50;4.38;1.60;0.00;5.03;1.67;-0.04;5.07;1.58;-0.05;
1164.484;6.50;1.50;4.38;1.60;0.00;5.08;1.67;-0.04;5.09;1.58;-0.05;
1164.586;6.50;1.50;4.38;1.60;0.00;5.13;1.67;-0.04;5.15;1.58;-0.05;
1164.684;6.50;1.50;4.38;1.60;0.00;5.18;1.67;-0.04;5.19;1.58;-0.05;
1164.784;6.50;1.50;4.38;1.60;0.00;5.23;1.67;-0.04;5.25;1.58;-0.05;
1164.884;6.50;1.50;4.38;1.60;0.00;5.28;1.66;-0.04;5.30;1.58;-0.05;
1164.984;6.50;1.50;4.38;1.60;0.00;5.33;1.66;-0.04;5.35;1.57;-0.05;
1165.084;6.50;1.50;5.36;1.56;0.00;5.38;1.66;-0.04;5.40;1.57;-0.05;
1165.188;6.50;1.50;5.36;1.56;0.00;5.43;1.66;-0.04;5.47;1.56;-0.05;
1165.285;6.50;1.50;5.36;1.56;0.00;5.48;1.66;-0.04;5.52;1.56;-0.05;
1165.384;6.50;1.50;5.36;1.56;0.00;5.53;1.66;-0.04;5.55;1.56;-0.05;
1165.492;6.50;1.50;5.36;1.56;0.00;5.58;1.65;-0.04;5.62;1.56;-0.05;
1165.586;6.50;1.50;5.36;1.56;0.00;5.62;1.65;-0.04;5.66;1.56;-0.05;
1165.690;6.50;1.50;5.36;1.56;0.00;5.66;1.65;-0.04;5.70;1.56;-0.05;
1165.784;6.50;1.50;5.36;1.56;0.00;5.70;1.65;-0.04;5.72;1.55;-0.05;
1165.884;6.50;1.50;5.36;1.56;0.00;5.74;1.65;-0.04;5.76;1.55;-0.05;
1165.985;6.50;1.50;5.36;1.56;0.00;5.77;1.65;-0.04;5.83;1.55;-0.05;
1166.084;6.50;1.50;5.36;1.56;0.00;5.80;1.64;-0.04;5.84;1.55;-0.05;
1166.185;6.50;1.50;5.36;1.56;0.00;5.84;1.64;-0.04;5.89;1.54;-0.05;
1166.284;6.50;1.50;5.36;1.56;0.00;5.87;1.64;-0.04;5.91;1.54;-0.05;
1166.384;6.50;1.50;5.36;1.56;0.00;5.90;1.64;-0.04;5.94;1.54;-0.05;
1166.484;6.50;1.50;5.36;1.56;0.00;5.92;1.64;-0.04;5.96;1.54;-0.05;
1166.584;6.50;1.50;5.36;1.56;0.00;5.95;1.64;-0.04;5.99;1.54;-0.05;
1166.684;6.50;1.50;5.36;1.56;0.00;5.97;1.64;-0.03;6.01;1.54;-0.05;
